d
Debug= 1
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.713
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.713
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.720
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.734
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.810
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.810
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.810
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.817
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.833
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:27.902
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:27.902
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:27.902
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:27.910
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:27.925
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.028
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.028
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.028
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.032
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.046
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.085
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.085
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.085
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.095
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.109
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.180
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.180
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.187
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.203
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.276
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.276
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.276
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.285
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.300
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.363
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.363
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.363
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.370
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.384
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.461
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.461
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.461
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.467
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.482
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.572
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.572
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.572
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.580
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.596
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.644
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.644
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.652
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.667
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.740
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.740
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.740
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:28.750
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:28.765
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:28.833
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:28.833
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:28.833
