d
Debug= 1
Rcvd msgID: 0x109; 01; 02; 00; 00; 00; 24; FF; 00  00:11:05.920
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:05.935
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:05.935
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:05.935
Rcvd msgID: 0x404; 06; 69; FF; FF; 00; 6C; 00; 00  00:11:05.936
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:05.936
Rcvd msgID: 0x109; 01; 86; 00; 01; 00; 24; FF; 00  00:11:05.967
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.016
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.016
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.016
Rcvd msgID: 0x109; 01; EA; 01; 01; 00; 24; FF; 00  00:11:06.059
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.060
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.060
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.060
Rcvd msgID: 0x109; 01; BB; 01; 00; 00; 24; FF; 00  00:11:06.102
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.150
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.150
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.150
Rcvd msgID: 0x109; 01; 4C; 01; 00; 00; 24; FF; 00  00:11:06.198
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.245
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.245
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.245
Rcvd msgID: 0x109; 01; F9; 00; 00; 00; 24; FF; 00  00:11:06.294
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.340
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.340
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.340
Rcvd msgID: 0x109; 01; BC; 00; 00; 00; 24; FF; 00  00:11:06.389
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 01; 00  00:11:06.435
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:11:06.435
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:11:06.435
Rcvd msgID: 0x404; 06; 69; FF; FE; 00; 6C; 00; 00  00:11:06.480
Rcvd msgID: 0x505; 00; 00; 00; 11; 00; 00; 00; 00  00:11:06.480
