l
Success...microSD file open...
Setting data logger to ON..sgteold.txt..
d
Debug= 1
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.151
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.151
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.159
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.174
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.193
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.193
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.193
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.202
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.217
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.235
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.235
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.243
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.259
Rcvd msgID: 0x404; 06; 58; FF; FE; 02; 4C; 00; 00  00:02:06.286
Rcvd msgID: 0x505; 00; 00; 00; 00; 00; 00; 00; 00  00:02:06.286
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.324
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.324
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.324
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.324
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.324
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.335
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.365
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.365
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.365
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.373
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 0A  00:02:06.388
Rcvd msgID: 0x102; 01; B1; 00; 00; 00; 08; 28; 00  00:02:06.406
Rcvd msgID: 0x100; 00; 00; 00; 00; BE; 00; 50; 00  00:02:06.406
Rcvd msgID: 0x101; 00; FF; 0A; 0A; 00; 00; 00; 00  00:02:06.406
Rcvd msgID: 0x108; 00; A4; 01; 7D; BE; 00; 00; 00  00:02:06.413
