Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.465
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.553
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.557
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.559
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:09.560
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:09.575
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.652
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.656
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.662
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.807
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.811
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.811
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:09.813
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:09.827
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.899
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.902
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.908
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:09.942
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:09.946
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:09.948
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:09.951
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:09.964
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.061
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.064
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.070
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.138
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.142
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.144
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:10.146
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:10.159
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.238
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.242
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.247
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.335
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.339
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.341
Rcvd msgID: 0x108; 00; A4; 01; 7D; B6; 00; 00; 00  00:01:10.346
Rcvd msgID: 0x109; 01; 00; 00; 00; 00; 00; FF; 5A  00:01:10.359
Rcvd msgID: 0x102; 02; B1; 00; 00; 00; 08; 00; 00  00:01:10.435
Rcvd msgID: 0x100; 00; 00; 00; 00; B6; 00; 0F; 00  00:01:10.438
Rcvd msgID: 0x101; 00; FF; 5A; 3C; 00; 00; 00; 00  00:01:10.444
